session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
y8kr62hb,2,d7wiz1pd,3,sticky_prices,Guess,1654732360,1,0,0
y8kr62hb,2,d7wiz1pd,5,sticky_prices,Expect,1654732361,1,0,0
y8kr62hb,3,yryenuc3,1,sticky_prices,Introduction,1654732362,1,0,0
y8kr62hb,3,yryenuc3,2,sticky_prices,Probability,1654732367,1,0,0
y8kr62hb,3,yryenuc3,3,sticky_prices,Guess,1654732373,1,0,0
y8kr62hb,3,yryenuc3,4,sticky_prices,Guess2,1654732376,1,0,0
y8kr62hb,3,yryenuc3,5,sticky_prices,Expect,1654732383,1,0,0
y8kr62hb,3,yryenuc3,6,sticky_prices,Second_Probability,1654732387,1,0,0
y8kr62hb,3,yryenuc3,7,sticky_prices,Second_Guess,1654732389,1,0,0
y8kr62hb,3,yryenuc3,9,sticky_prices,Second_Expect,1654732391,1,0,0
y8kr62hb,3,yryenuc3,10,sticky_prices,Second_Probability,1654732393,1,0,0
y8kr62hb,3,yryenuc3,11,sticky_prices,Second_Guess,1654732395,1,0,0
y8kr62hb,3,yryenuc3,12,sticky_prices,Second_Guess2,1654732398,1,0,0
y8kr62hb,3,yryenuc3,13,sticky_prices,Second_Expect,1654732399,1,0,0
y8kr62hb,1,8ee6x108,46,sticky_prices,ResultsWaitPage,1654732399,1,0,1
y8kr62hb,2,d7wiz1pd,46,sticky_prices,ResultsWaitPage,1654732399,1,0,1
y8kr62hb,3,yryenuc3,46,sticky_prices,ResultsWaitPage,1654732399,1,0,1
y8kr62hb,1,8ee6x108,47,sticky_prices,Results,1654732411,1,0,0
jhohqse8,1,cvs387rc,0,,InitializeParticipant,1654732836,1,0,0
jhohqse8,3,fz20egn1,0,,InitializeParticipant,1654732836,1,0,0
jhohqse8,2,q2uurb0o,0,,InitializeParticipant,1654732836,1,0,0
jhohqse8,1,cvs387rc,1,sticky_prices,Introduction,1654732955,1,0,0
jhohqse8,1,cvs387rc,2,sticky_prices,Probability,1654732973,1,0,0
jhohqse8,1,cvs387rc,3,sticky_prices,Guess,1654732977,1,0,0
jhohqse8,1,cvs387rc,4,sticky_prices,Guess2,1654732978,1,0,0
jhohqse8,1,cvs387rc,5,sticky_prices,Expect,1654732981,1,0,0
jhohqse8,2,q2uurb0o,1,sticky_prices,Introduction,1654732982,1,0,0
jhohqse8,2,q2uurb0o,2,sticky_prices,Probability,1654732987,1,0,0
jhohqse8,2,q2uurb0o,3,sticky_prices,Guess,1654732989,1,0,0
jhohqse8,2,q2uurb0o,5,sticky_prices,Expect,1654732992,1,0,0
jhohqse8,3,fz20egn1,1,sticky_prices,Introduction,1654732993,1,0,0
jhohqse8,3,fz20egn1,2,sticky_prices,Probability,1654732997,1,0,0
jhohqse8,3,fz20egn1,3,sticky_prices,Guess,1654733001,1,0,0
jhohqse8,3,fz20egn1,4,sticky_prices,Guess2,1654733002,1,0,0
jhohqse8,3,fz20egn1,5,sticky_prices,Expect,1654733003,1,0,0
jhohqse8,3,fz20egn1,6,sticky_prices,Second_Probability,1654733005,1,0,0
jhohqse8,3,fz20egn1,7,sticky_prices,Second_Guess,1654733007,1,0,0
jhohqse8,3,fz20egn1,8,sticky_prices,Second_Guess2,1654733009,1,0,0
jhohqse8,3,fz20egn1,9,sticky_prices,Second_Expect,1654733010,1,0,0
jhohqse8,3,fz20egn1,10,sticky_prices,Second_Probability,1654733012,1,0,0
jhohqse8,3,fz20egn1,11,sticky_prices,Second_Guess,1654733016,1,0,0
jhohqse8,3,fz20egn1,12,sticky_prices,Second_Guess2,1654733017,1,0,0
jhohqse8,3,fz20egn1,13,sticky_prices,Second_Expect,1654733017,1,0,0
jhohqse8,1,cvs387rc,46,sticky_prices,ResultsWaitPage,1654733017,1,0,1
jhohqse8,2,q2uurb0o,46,sticky_prices,ResultsWaitPage,1654733017,1,0,1
jhohqse8,3,fz20egn1,46,sticky_prices,ResultsWaitPage,1654733017,1,0,1
jhohqse8,1,cvs387rc,47,sticky_prices,Results,1654733087,1,0,0
jhohqse8,1,cvs387rc,49,sticky_prices,Probability,1654733114,2,0,0
jhohqse8,2,q2uurb0o,47,sticky_prices,Results,1654733252,1,0,0
jhohqse8,2,q2uurb0o,49,sticky_prices,Probability,1654733257,2,0,0
jhohqse8,2,q2uurb0o,50,sticky_prices,Guess,1654733266,2,0,0
jhohqse8,2,q2uurb0o,52,sticky_prices,Expect,1654733276,2,0,0
jhohqse8,2,q2uurb0o,53,sticky_prices,Second_Probability,1654733278,2,0,0
jhohqse8,2,q2uurb0o,54,sticky_prices,Second_Guess,1654733288,2,0,0
jhohqse8,1,cvs387rc,50,sticky_prices,Guess,1654733572,2,0,0
uq6m1ifw,1,uefcsk0c,0,,InitializeParticipant,1654735140,1,0,0
saxslvn4,1,gpvulhac,0,,InitializeParticipant,1654882669,1,0,0
6sksd6n8,1,vo031cvu,0,,InitializeParticipant,1654882787,1,0,0
os6fnhcq,1,ecuv38yf,0,,InitializeParticipant,1654882960,1,0,0
z12mq4r4,1,xwud4km5,3,sticky_prices,Guess,1654883064,1,0,0
z12mq4r4,1,xwud4km5,5,sticky_prices,Expect,1654883105,1,0,0
0say3q1z,1,zk6z78ju,0,,InitializeParticipant,1654883521,1,0,0
0say3q1z,1,zk6z78ju,1,sticky_prices,Introduction,1654883525,1,0,0
0say3q1z,1,zk6z78ju,2,sticky_prices,Probability,1654883530,1,0,0
